0.205728	4.86272419460344E-4
2003.996	0.407750431725266
4008.609	0.723299825020442
6013.531	0.929359742436631
8018.865	1.05549675470155
10022.86	1.13260469746525
12028.5	1.18028411610793
14032.19	1.21156224366312
16037.52	1.23375651757972
18043.37	1.2491261210139
20048.19	1.26248914309076
22054.04	1.27013587489779
24059.89	1.28083731970564
26065.73	1.28861864349959
28070.55	1.29409905233034
30076.92	1.2995888577269
32082.25	1.30501233442355
34088.09	1.3092300106296
36096	1.31340816598528
38101.85	1.3174866901063
40107.7	1.32086779558463
42113.54	1.3244091954211
44119.39	1.32645156663941
46124.21	1.32929071136549
48131.09	1.33227149550286
50136.93	1.33492851267375
